,Fall Start,Fall Stop
Fall1,352,368
Fall2,336,353
Fall3,342,354
Fall4,1102,1137
Fall5,574,593
Fall6,362,378
Fall7,496,516
Fall8,347,360
Fall9,586,634
Fall10,642,682
Fall11,528,559
Fall12,272,291
Fall13,268,287
Fall14,364,383
Fall15,297,314
Fall16,707,744
Fall17,319,331
Fall18,285,301
Fall19,306,324
Fall20,627,643
Fall21,364,384
Fall22,612,639
Fall23,393,406
Fall24,504,523
Fall25,528,546
Fall26,1439,1471
Fall27,922,957
Fall28,1096,1132
Fall29,618,642
Fall30,700,717
Fall31,404,424
Fall32,572,586
Fall33,1077,1117
Fall34,698,713
Fall35,495,518
